sample_id	sample_desc	strain	genus	species	input_type	files	trim	metadata
10315_6#92			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349838_1.fastq.gz;examples/Kp89/raw/ERR349838_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery B;Specimen:Blood
10315_6#93			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349839_1.fastq.gz;examples/Kp89/raw/ERR349839_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery B;Specimen:Blood
10315_6#95			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349841_1.fastq.gz;examples/Kp89/raw/ERR349841_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:Blood
10315_6#96			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349842_1.fastq.gz;examples/Kp89/raw/ERR349842_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Gynaecological;Specimen:Urine
10356_5#76			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349843_1.fastq.gz;examples/Kp89/raw/ERR349843_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Surgical;Specimen:Urine
10356_5#77			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349844_1.fastq.gz;examples/Kp89/raw/ERR349844_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:ET Tip
10356_5#78			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349845_1.fastq.gz;examples/Kp89/raw/ERR349845_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:Blood
10356_5#79			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349846_1.fastq.gz;examples/Kp89/raw/ERR349846_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:ICU;Specimen:Urine
10356_5#80			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349847_1.fastq.gz;examples/Kp89/raw/ERR349847_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:Blood
10356_5#81			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349848_1.fastq.gz;examples/Kp89/raw/ERR349848_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:susceptible;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:Blood
10356_5#82			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349849_1.fastq.gz;examples/Kp89/raw/ERR349849_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery C;Specimen:CSF
10356_5#85			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349852_1.fastq.gz;examples/Kp89/raw/ERR349852_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:intermediate;amikacin:intermediate;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:Blood
10356_5#86			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349853_1.fastq.gz;examples/Kp89/raw/ERR349853_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Maternity;Specimen:Urine
10356_5#87			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349854_1.fastq.gz;examples/Kp89/raw/ERR349854_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Maternity;Specimen:Urine
9878_1#11			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR317538_1.fastq.gz;examples/Kp89/raw/ERR317538_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:intermediate;amikacin:intermediate;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:Blood
9878_1#12			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR317539_1.fastq.gz;examples/Kp89/raw/ERR317539_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:Blood
9878_1#2			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR317529_1.fastq.gz;examples/Kp89/raw/ERR317529_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery B;Specimen:Blood
9878_1#3			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR317530_1.fastq.gz;examples/Kp89/raw/ERR317530_2.fastq.gz	Yes	meropenem:resistant;imipenem:intermediate;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery B;Specimen:Blood
9878_1#4			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR317531_1.fastq.gz;examples/Kp89/raw/ERR317531_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:Blood
9878_1#5			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR317532_1.fastq.gz;examples/Kp89/raw/ERR317532_2.fastq.gz	Yes	meropenem:resistant;imipenem:intermediate;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery A;Specimen:Blood
9878_1#6			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR317533_1.fastq.gz;examples/Kp89/raw/ERR317533_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:Blood
9878_1#8			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR317535_1.fastq.gz;examples/Kp89/raw/ERR317535_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:intermediate;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery C;Specimen:Blood
9878_1#9			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR317536_1.fastq.gz;examples/Kp89/raw/ERR317536_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:not recorded;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery C;Specimen:Blood
